Incident Id;Primary Charge;Street;City;State;Zipcode;Date of Arrest;Time of Arrest;Age;Race;Gender;Ethnicity;Type of Arrest;Drugs or Alcohol Present;Weapon Present;Disposition;latitude_longitude
27427;FAIL TO APPEAR/COMPL;206 PINEGATE CIR;CHAPEL HILL;NC;27514;2011-09-14;11:58 PM;32;W;M;H;TAKEN INTO CUSTODY (WARRANT/LP);N;UNARMED;ARREST/NO INVESTIGATION;35.948448,-79.0096815
27416;IMPAIRED DRIVING DWI;100 N BOUNDARY ST;CHAPEL HILL;NC;27514;2011-09-13;4:27 AM;35;W;M;N;ON VIEW;Y;UNARMED;CLEARED BY ARREST;35.91702971,-79.045888715
27419;SOLICITING WITHOUT A PERMIT;305 COPPERLINE DR;CHAPEL HILL;NC;27516;2011-09-13;3:59 PM;19;W;M;;SUMMONED/CITED;N;UNARMED;CLEARED BY ARREST;35.882946,-79.0650315
27418;SOLICITING WITHOUT A PERMIT;305 COPPERLINE DR;CHAPEL HILL;NC;27516;2011-09-13;3:38 PM;23;W;M;N;SUMMONED/CITED;;UNARMED;CLEARED BY ARREST;35.882946,-79.0650315
27417;DRUG PARAPHERNALIA;CREST ST AT COLE ST;CHAPEL HILL;NC;27514;2011-09-13;12:34 PM;38;B;F;N;SUMMONED/CITED;Y;UNARMED;CLEARED BY ARREST;35.906499,-79.064829
27413;IMPAIRED DRIVING DWI;W. FRANKLIN STREET AND MALLETTE ST;CHAPEL HILL;NC;27514;2011-09-11;1:43 AM;51;W;M;H;ON VIEW;Y;UNARMED;CLEARED BY ARREST;35.91171,-79.059528
27410;FAIL TO APPEAR/COMPL;108 E FRANKLIN ST;CHAPEL HILL;NC;27514;2011-09-10;10:26 PM;37;B;M;N;TAKEN INTO CUSTODY (WARRANT/LP);Y;UNARMED;CLEARED BY ARREST;35.912817,-79.05519
27409;COMMUNICATE THREATS;108 EAST FRANKLIN STREET;CHAPEL HILL;NC;;2011-09-10;10:20 PM;39;W;M;N;ON VIEW;Y;UNARMED;CLEARED BY ARREST;35.912817,-79.05519
27406;RESISTING ARREST;137 E FRANKLIN ST;CHAPEL HILL;NC;27514;2011-09-10;1:41 AM;34;B;M;N;TAKEN INTO CUSTODY (WARRANT/LP);U;UNARMED;CLEARED BY ARREST;35.913694231,-79.054433926
27408;NDL - SUSPENDED / REVOKED;FORDHAM NEAR LAUREL HILL ROAD;CHAPEL HILL;NC;27514;2011-09-10;8:00 PM;20;B;M;N;ON VIEW;N;UNARMED;ARREST/NO INVESTIGATION;35.904571284,-79.038519855
27405;NDL - SUSPENDED / REVOKED;100 BLOCK EAST FRANKLIN ST;CHAPEL HILL;NC;;2011-09-10;3:02 PM;22;W;M;;ON VIEW;N;UNARMED;CLEARED BY ARREST;35.912862,-79.0553025
27407;ASSAULT & BATTERY;150 E ROSEMARY ST;CHAPEL HILL;NC;27514;2011-09-10;2:26 AM;30;B;M;N;ON VIEW;Y;UNARMED;CLEARED BY ARREST;35.914838303,-79.054215869
27411;NOISE ORDINANCE VIOLATION;N. COLUMBIA AND E. ROSEMARY INTERSECTION;CHAPEL HILL;NC;27514;2011-09-10;10:22 PM;26;B;M;;SUMMONED/CITED;N;UNARMED;CLEARED BY ARREST;35.914068,-79.0562925
27414;PUBLIC URINATION;BANK OF AMERICA PARKING DECK;CHAPEL HILL;NC;27514;2011-09-10;2:25 AM;25;W;M;;SUMMONED/CITED;Y;UNARMED;CLEARED BY ARREST;35.928510008,-79.029710048
27412;OPEN CONTAINER;215 W CAMERON AVE/WILSON ST;CHAPEL HILL;NC;27516;2011-09-10;7:22 PM;49;B;M;;SUMMONED/CITED;Y;UNARMED;CLEARED BY ARREST;35.909676,-79.057071
27404;NOISE ORDINANCE VIOLATION;106 MULLIN CT;CHAPEL HILL;NC;27514;2011-09-10;5:44 AM;21;A;M;N;SUMMONED/CITED;Y;UNARMED;CLEARED BY ARREST;35.927614989,-79.051515077
27403;UNDERAGE POSS OF SPIRITIOUS LIQUOR;106 MULLIN CT;CHAPEL HILL;NC;27514;2011-09-10;3:43 AM;19;W;M;N;SUMMONED/CITED;Y;UNARMED;CLEARED BY ARREST;35.927614989,-79.051515077
27402;IMPAIRED DRIVING DWI;HILLSBOROUGH STREET @ BOLINWOOD DRIVE;CHAPEL HILL;NC;27514;2011-09-10;3:25 AM;20;W;M;N;ON VIEW;Y;UNARMED;ARREST/NO INVESTIGATION;35.92323,-79.0516395
27400;LARCENY -  ALL OTHER;100 W ROSEMARY ST;CHAPEL HILL;NC;27516;2011-09-09;11:27 PM;49;B;M;;TAKEN INTO CUSTODY (WARRANT/LP);N;UNARMED;ARREST/NO INVESTIGATION;35.913980796,-79.056595671
27397;BREAKING/LARC-FELONY;111 BRIGHT SUN PL;CHAPEL HILL;NC;27516;2011-09-09;8:20 AM;21;B;M;N;TAKEN INTO CUSTODY (WARRANT/LP);N;UNARMED;CLEARED BY ARREST;35.954414216,-79.059720494
